Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1ipSpQfzBbhPFhYm6tfVIz,"Mr. Glock","Yellow Tape","Key Glock",2020-01-31,146880,69,true,dalootrobber2121,2024-03-24T01:59:22Z,"","Paper Route EMPIRE",0.804,0.946,7,-5.949,1,0.352,0.002,0,0.359,0.745,150.141,4
spotify:track:0vwOWwl785S9EU1wtbeLLJ,"BookBag 2.0 (feat. Polo G)","Bad Intentions","BigKayBeezy;Polo G",2020-09-16,171245,63,true,dalootrobber2121,2024-03-24T02:36:05Z,"chicago drill","Jay Rebel Music",0.909,0.541,8,-6.436,1,0.497,0.322,0,0.0942,0.823,135.106,4
spotify:track:0ta4zGu5dnGgH0B71kEOcX,"500 Hours","500 Hours","Comethazine",2022-10-31,94838,36,true,dalootrobber2121,2024-03-24T16:20:54Z,"","Alamo",0.856,0.731,9,-7.726,0,0.346,0.157,0,0.15,0.627,124.038,4
spotify:track:2g6tReTlM2Akp41g0HaeXN,"Die Hard","Mr. Morale & The Big Steppers","Kendrick Lamar;Blxst;Amanda Reifer",2022-05-13,239026,74,true,dalootrobber2121,2024-03-24T17:29:11Z,"hip hop,west coast hip hop","pgLang/Top Dawg Entertainment/Aftermath/Interscope Records",0.775,0.736,1,-8.072,0,0.247,0.319,0.00116,0.127,0.362,100.988,4
spotify:track:15qRV1yUqFR6ViOwxoopod,"Lyfestylë (with Lil Wayne)","2093","Yeat;Lil Wayne",2024-02-16,236883,52,true,dalootrobber2121,2024-03-24T18:19:36Z,"rage rap,rap,hip hop","Field Trip Recordings/Capitol Records",0.699,0.509,10,-8.638,1,0.111,0.152,0,0.0722,0.268,76.977,4
spotify:track:7DTlsMOQjGysXHpwwpHuPl,"Lifestyle","Lifestyle","Rich Gang;Young Thug;Rich Homie Quan",2014-06-05,269693,71,true,dalootrobber2121,2024-03-24T18:20:06Z,"rap,trap,melodic rap,southern hip hop","Cash Money",0.546,0.667,1,-5.236,1,0.274,0.0152,0,0.0895,0.471,87.666,4
spotify:track:7fOBp3Fs248pfOEMZAIeRo,"Swing Ya Pole","FALLEN RAVEN","Summrs",2022-06-27,150277,58,true,dalootrobber2121,2024-03-25T22:34:08Z,"underground hip hop","10K Projects",0.682,0.521,5,-6.464,1,0.0436,0.00577,0,0.14,0.106,143.992,4
spotify:track:2nBI3iWLhupR7LyAJ5GGkE,"Champions","Champions","Kanye West;Gucci Mane;Big Sean;2 Chainz;Travis Scott;Yo Gotti;Quavo;Desiigner",2016-06-10,334253,62,true,dalootrobber2121,2024-03-26T11:54:49Z,"rap,southern hip hop,trap","Getting Out Our Dreams Inc. (G.O.O.D.) Music / IDJ",0.692,0.774,6,-2.48,0,0.0876,0.0623,0,0.873,0.349,134.952,4
spotify:track:1EaKU4dMbesXXd3BrLCtYG,"ELEMENT.","DAMN.","Kendrick Lamar",2017-04-14,208733,68,true,dalootrobber2121,2024-03-27T00:40:28Z,"hip hop,west coast hip hop","Aftermath",0.748,0.705,4,-4.547,0,0.485,0.204,0,0.246,0.483,189.891,4
spotify:track:72qABvaqn3TP6drO2tByA6,"Ain't No Love","WE DON'T TRUST YOU","Future;Metro Boomin",2024-03-22,182840,55,true,dalootrobber2121,2024-03-27T00:46:24Z,"rap","Wilburn Holding Co./Boominati/Epic/Republic",0.754,0.673,9,-6.341,1,0.131,0.0842,0.0000859,0.0841,0.112,147.02,4
spotify:track:3CF5Jehu93omBGJyWRcE70,"Senate","Senate","Comethazine",2022-11-11,140766,33,true,dalootrobber2121,2024-03-30T16:13:53Z,"","Alamo",0.87,0.497,2,-7.131,1,0.377,0.0436,0,0.114,0.4,128.268,4
spotify:track:2gam98EZKrF9XuOkU13ApN,"Promiscuous","Loose","Nelly Furtado;Timbaland",2006-01-01,242293,88,false,dalootrobber2121,2024-03-30T16:15:17Z,"","Mosley / Geffen",0.808,0.97,10,-6.098,0,0.0504,0.0573,0.0000617,0.154,0.868,114.328,4
spotify:track:2bLqfJjuC5syrsgDsZfGmn,"The Way I Are","Shock Value","Timbaland;Keri Hilson;D.O.E.",2007-01-01,179120,86,false,dalootrobber2121,2024-03-30T16:37:15Z,"","Interscope/Blackground Records",0.729,0.807,6,-6.492,1,0.0936,0.181,0.75,0.319,0.765,114.742,4
spotify:track:4wH4dJgrsxONID6KS2tDQM,"Maneater","Loose","Nelly Furtado",2006-01-01,258893,85,false,dalootrobber2121,2024-03-30T16:44:23Z,"","Mosley / Geffen",0.796,0.778,6,-4.81,1,0.0397,0.0258,0.000386,0.121,0.789,132.724,4
spotify:track:3OEjvmEBRrdTYbbrkiXG8a,"cocoa (with Don Toliver)","The Melodic Blue","Baby Keem;Don Toliver",2021-09-10,229608,55,true,dalootrobber2121,2024-04-01T22:36:08Z,"","Columbia",0.822,0.696,9,-5.8,0,0.118,0.0413,0,0.0795,0.57,153.99,4
spotify:track:2WAufixPkOjvrBtAdQQTbr,"trademark usa","The Melodic Blue (Deluxe)","Baby Keem",2022-10-28,270670,52,true,dalootrobber2121,2024-04-01T22:38:29Z,"","pgLang/Columbia",0.613,0.6,10,-5.621,1,0.281,0.108,0.00000167,0.274,0.067,130.732,4
spotify:track:1wf4LnpdAhLaoI2WwYDKAE,"Compton","good kid, m.A.A.d city (Deluxe)","Kendrick Lamar;Dr. Dre",2012,248093,53,true,dalootrobber2121,2024-04-08T21:47:08Z,"hip hop,west coast hip hop,old school hip hop,g-funk,gangster rap,rap","Aftermath",0.341,0.907,1,-4.425,0,0.419,0.0815,0,0.383,0.224,170.757,4
spotify:track:0gV5B7zmJkS1aaH9APokrH,"Wow Freestyle (feat. Kendrick Lamar)","Redemption","Jay Rock;Kendrick Lamar",2018-06-15,175213,61,true,dalootrobber2121,2024-04-08T22:02:44Z,"hip hop,west coast hip hop","Top Dawg Ent./Interscope Records",0.782,0.633,8,-4.644,1,0.341,0.0355,0,0.0615,0.749,150.055,4
spotify:track:5PQmSHzWnlgG4EBuIqjac2,"If I Ruled the World (Imagine That) (feat. Lauryn Hill)","It Was Written","Nas;Ms. Lauryn Hill",1996-07-02,282373,69,true,dalootrobber2121,2024-04-08T22:49:24Z,"old school hip hop,east coast hip hop,hip hop,neo soul","Columbia",0.879,0.564,10,-7.682,0,0.247,0.0474,0.00000943,0.0519,0.523,93.908,4
spotify:track:0uEp9E98JB5awlA084uaIg,"Doo Wop (That Thing)","The Miseducation of Lauryn Hill","Ms. Lauryn Hill",1998-08-25,320266,76,false,dalootrobber2121,2024-04-09T00:47:24Z,"neo soul","Ruffhouse/Columbia",0.535,0.505,2,-8.926,0,0.245,0.0393,0,0.0923,0.495,99.935,4
spotify:track:1ZHYJ2Wwgxes4m8Ba88PeK,"Monster","My Beautiful Dark Twisted Fantasy","Kanye West;JAŸ-Z;Rick Ross;Nicki Minaj;Bon Iver",2010-11-22,378893,75,true,dalootrobber2121,2024-04-10T21:30:48Z,"rap,hip hop,east coast hip hop,southern hip hop","Roc-A-Fella",0.628,0.692,2,-5.64,1,0.202,0.00244,0.0129,0.668,0.0963,124.887,5
spotify:track:4AYX69oFP3UOS1CFmV9UfO,"Bottoms Up (feat. Nicki Minaj)","Passion, Pain & Pleasure (Deluxe Version)","Trey Songz;Nicki Minaj",2010-09-14,242013,72,true,dalootrobber2121,2024-04-10T21:43:26Z,"r&b","Atlantic Records",0.844,0.601,1,-5.283,1,0.157,0.0205,0,0.385,0.331,73.989,4
spotify:track:6c5wQFfJApRMooKE7UQnlH,"durag activity (with Travis Scott)","The Melodic Blue","Baby Keem;Travis Scott",2021-09-10,224457,60,true,dalootrobber2121,2024-04-13T11:38:26Z,"rap","Columbia",0.893,0.759,2,-4.245,1,0.309,0.00404,0,0.0865,0.498,80.45,4
spotify:track:4KjnaUNYPwGnJjoeTFlt91,"Now Or Never - Bonus Track","good kid, m.A.A.d city (Deluxe)","Kendrick Lamar;Mary J. Blige",2012,256013,66,false,dalootrobber2121,2024-04-14T04:22:25Z,"hip hop,west coast hip hop,r&b","Aftermath",0.535,0.707,7,-5.879,0,0.21,0.264,0,0.308,0.784,100.534,4
