Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4qH8Sso2ntSOf5MEzlmSsF,"Forces","Forces","Jim Yosef;Ivan Jamile;Kédo Rebelle",2016-02-06,288754,12,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"hypertechno","NCS",0.621,0.843,10,-4.746,1,0.17,0.0013,0.00000213,0.215,0.161,128.054,4
spotify:track:0vlMqBu7DA5x4cJQyVf8BC,"Stay With Me","Stay With Me","Mendum",2014-09-17,185807,11,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"chillstep,melodic bass","NCS",0.4,0.736,2,-3.885,1,0.418,0.2,0,0.505,0.17,159.208,4
spotify:track:0rddV3FgbsxiAF8kJCeUQQ,"Falling","Falling","Diviners;Harley Bird",2018-07-17,200059,21,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"tropical house","NCS",0.579,0.627,2,-6.506,1,0.0448,0.509,0.0000232,0.104,0.0709,126.298,4
spotify:track:1beofoLAi7Z44tZm7bOPtr,"Flares","Flares","NIVIRO",2018-01-13,205500,19,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"big room","NCS",0.679,0.794,1,-5.184,1,0.0525,0.0376,0.000219,0.142,0.332,99.996,4
spotify:track:12NDeZcKb7QR9Q6peVEEQH,"On Fire","On Fire","Robin Hustin",2019-01-18,202651,23,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"future house","NCS",0.559,0.875,1,-4.162,0,0.0456,0.00749,0.599,0.232,0.44,128.081,4
spotify:track:7rgo73okAxdtiIdPScZDQP,"Shine - Gabriel Drew & Bloom Remix","Shine (Gabriel Drew & Bloom Remix)","Spektrem",2013-12-08,268199,16,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"","NCS",0.721,0.944,8,-3.326,1,0.162,0.00227,0,0.258,0.221,128.031,4
spotify:track:1i7IEy3dq9GG8pRcswAeK6,"Fly Away","Fly Away","Krys Talk",2015-03-12,288000,11,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"","NCS",0.384,0.526,9,-5.89,1,0.0438,0.478,0,0.511,0.0798,139.548,4
spotify:track:3aYidIc6HUMrL1tFTmokSZ,"Phenomenon","Faceless","Unknown Brain;Dax;Hoober;VinDon",2020-11-27,176100,28,true,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"","NCS",0.7,0.878,0,-5.133,1,0.0989,0.0122,0.000525,0.32,0.367,99.997,4
spotify:track:4Ac2bceYSTixYBY3C4U0Ls,"Warriors","Warriors","Asketa & Natan Chaim;Requenze;M.I.M.E",2019-10-25,228571,21,true,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"future house,edm trap","NCS",0.773,0.974,2,-2.982,1,0.183,0.0743,0.0000117,0.145,0.441,105.02,4
spotify:track:0aEV5zOV31oi6OxN91a4tR,"Halcyon","Halcyon","JJD",2016-04-09,290586,12,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"","NCS",0.74,0.844,7,-2.032,1,0.134,0.00406,0.00000101,0.111,0.849,133.004,4
